journaltitle;publisher;JCR quartile;Ministry points;research area;impact factor;APC
journal 1;Elsevier;Q1;140;chemistry;2.5;2100
journal 2;Wiley;Q2;200;physics;30.5;3200
journal 3;Elsevier;Q3;100;chemistry;45.5;4300
journal 4;Wiley;Q2;140;physics;25.5;2400
journal 5;Elsevier;Q1;200;chemistry;50.5;3500
journal 6;Wiley;Q3;100;physics;35.5;2600
journal 7;Elsevier;Q1;140;chemistry;40.5;4700
journal 8;Wiley;Q2;200;physics;55.5;2800
journal 9;Elsevier;Q3;100;chemistry;20.5;3900
journal 10;Wiley;Q4;140;physics;45.5;5000
journal 11;Elsevier;Q1;140;chemistry;22.5;2200
journal 12;Wiley;Q2;200;physics;32.5;3300
journal 13;Elsevier;Q3;100;chemistry;42.5;4400
journal 14;Wiley;Q2;140;physics;27.5;2500
journal 15;Elsevier;Q1;200;chemistry;52.5;3600
journal 16;Wiley;Q3;100;physics;37.5;2700
journal 17;Elsevier;Q1;140;chemistry;47.5;4800
journal 18;Wiley;Q2;200;physics;57.5;2900
journal 19;Elsevier;Q3;100;chemistry;24.5;4000
journal 20;Wiley;Q4;140;physics;47.5;4100